series_id,series_name,all_names,trust,cik,ticker,all_tickers,first_year,last_year,leverage_parsed,leverage_note,reset,underlying,underlying_note,category,active_2026,has_ticker,n_obs,beta,r2,resid_sd,beta_first60,beta_last60,beta_roll_min,beta_roll_max,price_ticker,first_date,last_date,med_dollar_vol,lev_check
S000085139,Defiance Daily Target 2X Long AVGO ETF,Defiance Daily Target 2X Long PANW ETF | Defiance Daily Target 2X Long AVGO ETF,Tidal Trust II,1924868,AVGX,PANX | AVGX,2024,2026,2.0,number,daily,AVGO,ticker token,single_stock,True,True,521.0,1.981312679496787,0.9988976557805734,0.0020961444414840293,2.010222048372786,2.0178950270085236,1.9359621251128794,2.022146725993253,AVGX,2024-08-22,2026-09-23,23758967.858314514,ok
S000087464,T-REX 2X LONG AVGO DAILY TARGET ETF,T-REX 2X LONG AVGO DAILY TARGET ETF,ETF Opportunities Trust,1771146,AVGU,AVGU,2025,2026,2.0,number,daily,AVGO,ticker token,single_stock,True,True,299.0,1.9994659592163115,0.9964178580818546,0.0034390125035915946,1.99046390765015,2.007743019757057,1.9614905592779728,2.026652096051403,AVGU,2025-07-15,2026-09-23,2904445.69644928,ok
S000088059,Direxion Daily AVGO Bull 2X ETF,Direxion Daily AVGO Bull 2X Shares | Direxion Daily AVGO Bull 2X ETF,Direxion Shares ETF Trust,1424958,AVL,AVL,2025,2026,2.0,number,daily,AVGO,ticker token,single_stock,True,True,487.0,1.9882081381719814,0.9986309934919815,0.0024042523165075983,1.9931116026624576,1.997698669337302,1.9537939475115853,2.011469804521085,AVL,2024-10-10,2026-09-23,18690652.096939087,ok
S000088314,GraniteShares 2x Long AVGO Daily ETF,GraniteShares 2x Long AVGO Daily ETF,GraniteShares ETF Trust,1689873,AVGU,AVGU,2025,2026,2.0,number,daily,AVGO,ticker token,single_stock,True,True,299.0,1.9994659592163115,0.9964178580818546,0.0034390125035915946,1.99046390765015,2.007743019757057,1.9614905592779728,2.026652096051403,AVGU,2025-07-15,2026-09-23,2904445.69644928,ok
S000091235,Leverage Shares 2X Long AVGO Daily ETF,Leverage Shares 2X Long AVGO Daily ETF,Themes ETF Trust,1976322,AVGG,AVGG,2025,2026,2.0,number,daily,AVGO,ticker token,single_stock,True,True,338.0,1.9979214521571882,0.9974736260412531,0.00276977200625951,2.002610369344615,1.998677597899221,1.9724071305029502,2.043267293457427,AVGG,2025-05-16,2026-09-23,4950447.212600708,ok
S000093892,T-REX 2X LONG AXON DAILY TARGET ETF,T-REX 2X LONG AXON DAILY TARGET ETF,ETF Opportunities Trust,1771146,AXUP,AXUP,2025,2026,2.0,number,daily,AXON,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000089802,Defiance Daily Target 2X Long B ETF,Defiance Daily Target 2X Long GOLD ETF | Defiance Daily Target 2X Long B ETF,Tidal Trust II,1924868,BU,GOLX | BU,2025,2026,2.0,number,daily,B,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000093877,T-REX 2X LONG B DAILY TARGET ETF,T-REX 2X LONG GOLD DAILY TARGET ETF | T-REX 2X LONG B DAILY TARGET ETF,ETF Opportunities Trust,1771146,GLDU,GLDU,2025,2026,2.0,number,daily,B,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000087485,T-REX 2X INVERSE BA DAILY TARGET ETF,T-REX 2X INVERSE BA DAILY TARGET ETF,ETF Opportunities Trust,1771146,BAD,BAD,2025,2026,-2.0,number,daily,BA,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000076090,AXS 1.25X BA Bear Daily ETF,AXS 2X BA Bear Daily ETF | AXS 1.25X BA Bear Daily ETF,Investment Managers Series Trust II,1587982,BAS,BAS,2022,2023,-1.25,number,daily,BA,ticker token,single_stock,False,True,,,,,,,,,,,,,no_prices
S000088062,Direxion Daily BA Bear 1X ETF,Direxion Daily BA Bear 1X Shares | Direxion Daily BA Bear 1X ETF,Direxion Shares ETF Trust,1424958,BOED,BOED,2025,2026,-1.0,number,daily,BA,ticker token,single_stock,True,True,,,,,,,,,,,,,no_prices
S000076100,AXS 1.25X BA Bull Daily ETF,AXS 2X BA Bull Daily ETF | AXS 1.25X BA Bull Daily ETF,Investment Managers Series Trust II,1587982,BAT,BAT,2022,2023,1.25,number,daily,BA,ticker token,single_stock,False,True,,,,,,,,,,,,,no_prices
S000086642,Leverage Shares 2X Long BA Daily ETF,Leverage Shares 2X Long BA Daily ETF,Themes ETF Trust,1976322,BOEG,BOEG,2025,2026,2.0,number,daily,BA,ticker token,single_stock,True,True,318.0,1.9895773042515863,0.9896536262856096,0.00411325293951106,2.016442499917489,1.9957772364543094,1.9489267726671635,2.016442499917489,BOEG,2025-06-13,2026-09-23,421070.8547592163,ok
S000088061,Direxion Daily BA Bull 2X ETF,Direxion Daily BA Bull 2X Shares | Direxion Daily BA Bull 2X ETF,Direxion Shares ETF Trust,1424958,BOEU,BOEU,2025,2026,2.0,number,daily,BA,ticker token,single_stock,True,True,354.0,1.984874948829131,0.9942334130497735,0.0029910527792202006,1.9842028520879265,1.976201677602174,1.9321519923842845,2.0407906129134052,BOEU,2025-04-23,2026-09-23,818394.021987915,ok
S000076352,GraniteShares 2x Long BABA Daily ETF,GraniteShares 2x Long Alibaba Daily ETF | GraniteShares 1.75x Long BABA Daily ETF | GraniteShares 2x Long BABA Daily ETF,GraniteShares ETF Trust,1689873,BABX,BABX,2022,2026,2.0,number,daily,BABA,ticker token,single_stock,True,True,945.0,1.93846072035304,0.9949539038911006,0.003714887258608645,1.7369248418404217,2.0050227784084402,1.7241528030879059,2.0258931094493566,BABX,2022-12-13,2026-09-23,12965513.978767395,ok
